TAG;MODULE;PLANTGROUP;NPS_IN;DESIGN_MAX_PRESS_BAR;DESIGN_MIN_TEMP_NORM;OPER_NORM_TEMP_NORM;DESIGN_MAX_TEMP_NORM;TYPE_NORM;VALVE_APP_NORM;FLUID_CODE_NORM;CLUSTER_KMEANS;CLUSTER_DBSCAN
VALV-54230340;MAIN DECK;5423;12;18,01325;21;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230341;M-12;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230342;M-15;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230343;M-17;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230344;M-17;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230345;LIFEBOAT PLATFORM;5423;20;18,01325;0;27;57;BUTTERFLY (DOUBLE OFFSET);OTHER BLOCK;FW;1;0
VALV-54230345;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230346;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230347;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230348;ACCOMMODATION;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230349;MAIN DECK;5423;4;18,01325;21;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230350;MAIN DECK;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230351;MAIN DECK;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230352;MAIN DECK;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
VALV-54230353;M-13;5423;4;18,01325;0;27;57;GATE;OTHER BLOCK;FW;4;0
