TAG,PC1,PC2,CLUSTER_KMEANS,CLUSTER_DBSCAN,TYPE_NORM,VALVE_APP_NORM,FLUID_CODE_NORM
VALV-12310866,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310867,0.02043539787522687,-0.2942675046689128,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310868,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310869,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310884,-0.7946952556135379,0.1973699049052481,1.0,0,BALL,OTHER BLOCK,P
VALV-12310885,-0.25945244959785563,-1.3167025489973434,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310886,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12310887,-0.23804273735722828,-1.3772654471534471,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310889,-0.7449379027741713,0.7702469929852857,4.0,0,CHECK,CHECK,W
VALV-12310893,-0.5308407803678983,0.16461801142424903,4.0,0,BALL,DRAIN/UTILITY,W
VALV-12310899,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12310900,-0.23804273735722828,-1.3772654471534471,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310905,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12310910,-0.5308407803678983,0.16461801142424903,4.0,0,BALL,DRAIN/UTILITY,W
VALV-12310919,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310920,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310921,-0.4666116436460164,-0.01707068304406197,4.0,0,DOUBLE BALL,INSTRUMENT BLOCK,W
VALV-12310924,0.02043539787522687,-0.2942675046689128,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310926,-0.7449379027741713,0.7702469929852857,4.0,0,CHECK,CHECK,W
VALV-12310950,1.0345402656986626,-0.9238392798430879,0.0,0,BALL,DRAIN/UTILITY,F
VALV-12310951,0.8097382871720761,-0.2879288492039992,0.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310952,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310953,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310954,-0.022384026606027715,-0.17314170835670553,0.0,0,DOUBLE BALL,PSV BLOCK INLET,PC
VALV-12310955,-0.022384026606027715,-0.17314170835670553,0.0,0,DOUBLE BALL,PSV BLOCK INLET,PC
VALV-12310956,1.0345402656986626,-0.9238392798430879,0.0,0,BALL,DRAIN/UTILITY,F
VALV-12310957,0.06325482235648147,-0.4153933009811201,0.0,0,GLOBE,MANUAL CONTROL,PC
VALV-12310958,0.8097382871720761,-0.2879288492039992,0.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12310959,0.06325482235648147,-0.4153933009811201,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310969,0.02043539787522687,-0.2942675046689128,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310970,0.02043539787522687,-0.2942675046689128,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310972,0.06325482235648147,-0.4153933009811201,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310973,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310974,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310975,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310976,0.08466453459710876,-0.4759561991372238,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310977,0.08466453459710876,-0.4759561991372238,0.0,0,NEEDLE,MANUAL CONTROL,PC
VALV-12310978,0.11677910295804972,-0.5668005463713793,0.0,0,BALL,DRAIN/UTILITY,PC
VALV-12310979,0.06325482235648147,-0.4153933009811201,4.0,0,BALL,OTHER BLOCK,PC
VALV-12310980,0.06325482235648147,-0.4153933009811201,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12310994,-0.29573126294571267,-0.07252822818622201,0.0,0,BALL,OTHER BLOCK,P
VALV-12310995,-0.29573126294571267,-0.07252822818622201,0.0,0,BALL,BDV BLOCK,P
VALV-12310996,0.0896435573855787,-1.162660394996088,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12310997,-0.29573126294571267,-0.07252822818622201,0.0,0,BALL,OTHER BLOCK,P
VALV-12310998,-0.29573126294571267,-0.07252822818622201,0.0,0,BALL,OTHER BLOCK,P
VALV-12310999,0.0896435573855787,-1.162660394996088,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311000,0.12175812574651966,-1.2535047422302434,0.0,0,BALL,OTHER BLOCK,P
VALV-12311003,0.12175812574651966,-1.2535047422302434,0.0,0,BALL,OTHER BLOCK,P
VALV-12311004,0.12175812574651966,-1.2535047422302434,0.0,0,BALL,OTHER BLOCK,P
VALV-12311006,0.12175812574651966,-1.2535047422302434,0.0,0,BALL,OTHER BLOCK,P
VALV-12311007,0.12175812574651966,-1.2535047422302434,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311008,0.12175812574651966,-1.2535047422302434,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311009,-0.6105912888030789,-0.2075600541760815,4.0,0,BALL,DRAIN/UTILITY,W
VALV-12311011,-0.6320010010437062,-0.14699715601997784,4.0,0,BALL,PSV BLOCK INLET,W
VALV-12311012,0.2954725660328411,0.09508830859005031,4.0,0,BALL,PSV BLOCK OUTLET,F
VALV-12311013,0.3918162711156639,-0.17744473311241624,4.0,0,BALL,DRAIN/UTILITY,F
VALV-12311037,-0.24603559655038262,-1.324636511137041,0.0,0,DOUBLE BALL,PSV BLOCK INLET,P
VALV-12311056,0.02043539787522687,-0.2942675046689128,0.0,0,CHECK,CHECK,PC
VALV-12311057,0.21050498617191102,0.3985577776452422,4.0,0,BALL,PSV BLOCK INLET,W
VALV-12311066,2.3350977989776536,0.01382799752204105,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12311068,2.3350977989776536,0.01382799752204105,2.0,0,BALL,DRAIN/UTILITY,F
VALV-12311070,-0.45213985976350124,-0.7716364655924105,0.0,0,CHECK,CHECK,P
VALV-12311080,-0.12445356502069425,-0.5570314134350515,0.0,0,CHECK,CHECK,P
VALV-12311081,-0.12445356502069425,-0.5570314134350515,0.0,0,DOUBLE BALL,OTHER BLOCK,P
VALV-12311083,0.02043539787522687,-0.2942675046689128,0.0,0,CHECK,CHECK,PC
VALV-12311084,-0.12445356502069425,-0.5570314134350515,0.0,0,DOUBLE BALL,OTHER BLOCK,P
VALV-12311085,0.0896435573855787,-1.162660394996088,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311086,0.0896435573855787,-1.162660394996088,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311092,0.31147597276024047,0.02940185776379691,0.0,0,CHECK,CHECK,P
VALV-12311103,-0.12445356502069425,-0.5570314134350515,0.0,0,BALL,OTHER BLOCK,P
VALV-12311120,-0.31026473327226456,-1.14294781666873,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311121,-0.12445356502069425,-0.5570314134350515,0.0,0,BALL,OTHER BLOCK,P
VALV-12311123,-0.4601338507204801,-1.0744058674089532,0.0,0,DOUBLE BALL,OTHER BLOCK,P
VALV-12311125,-0.4601338507204801,-1.0744058674089532,0.0,0,DOUBLE BALL,OTHER BLOCK,P
VALV-12311128,0.0896435573855787,-1.162660394996088,0.0,0,BALL,DRAIN/UTILITY,P
VALV-12311130,0.12748395907836338,-0.5970819954494313,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12311131,0.12748395907836338,-0.5970819954494313,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12311132,0.12748395907836338,-0.5970819954494313,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12311133,0.12748395907836338,-0.5970819954494313,0.0,0,DOUBLE BALL,INSTRUMENT BLOCK,PC
VALV-12311134,2.0428053805579993,0.19147101172007722,2.0,0,BALL,BDV BLOCK,P
